id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1539460219847462912,Never Grow Up ,2022-06-22 04:08:12.000,https://twitter.com/author/status/1539460219847462912,74WBGgUnpKrJXt6TETfR6Z,Never Grow Up,56,{06HL4z0CvFAxyc27GXpf02},{Taylor Swift},0.714,0.305,2,-8.837,0.0305,0.819,0,0.174,0.554,124.91,290467,4,1.0
1539460215338414080,Thomas Dolby She Blinded Me With Science ,2022-06-22 04:08:11.000,https://twitter.com/author/status/1539460215338414080,6y9VZNRczyKeQihebHSMJ8,She Blinded Me With Science - 2009 Remastered Version,48,{2Uz58cSxlJgefDaSikxYQ7},{Thomas Dolby},0.798,0.767,9,-10.502,0.0421,0.0725,0.138,0.0985,0.974,129.401,222387,4,1.0
1539460206282915840,Believe in the Saviour,2022-06-22 04:08:09.000,https://twitter.com/author/status/1539460206282915840,62lfViW3qSDVuXvrroeJAA,Shadow World,22,{2WLmgv66Uq4vt2i36vwkAq},{The Haunted},0.332,0.952,10,-4.563,0.0804,1.19e-06,0.801,0.345,0.384,105.235,220147,4,1.0
1539460205196591104,Cardi B Thru Your Phone ,2022-06-22 04:08:09.000,https://twitter.com/author/status/1539460205196591104,74cVJfmK18rhWnscIpGXjt,Thru Your Phone,70,{4kYSro6naA4h99UJvo89HB},{Cardi B},0.837,0.549,0,-5.722,0.167,0.17,0,0.057,0.209,121.954,188524,4,1.0
1539460200515739649,Jody Watley Don t You Want Me Don t You Want Me Jody Watley Jody Watley Don t You Want Me ,2022-06-22 04:08:08.000,https://twitter.com/author/status/1539460200515739649,7r4ZN8F22eBQeN0aMqwzgN,Don't You Want Me,47,"{71aKjsWKYqASAffyIQaocZ,4K2MhZSPRWfoO6P3gtlu1d,30ZqCPhfRzzWcgIbXrbHnU}","{Jody Watley,Michael Hutchinson,Francois Kevorkian}",0.882,0.587,9,-12.613,0.0396,0.0673,1.09e-05,0.0527,0.866,112.032,253600,4,0.0
1539460200238878720,Led Zeppelin Kashmir ,2022-06-22 04:08:08.000,https://twitter.com/author/status/1539460200238878720,6Vjk8MNXpQpi0F4BefdTyq,Kashmir - Remaster,71,{36QJpDe2go2KgaRleHCDTp},{Led Zeppelin},0.483,0.615,2,-8.538,0.0497,0.452,0.000414,0.0512,0.594,80.576,517125,3,1.0
1539460197986578432,energy,2022-06-22 04:08:07.000,https://twitter.com/author/status/1539460197986578432,79XrkTOfV1AqySNjVlygpW,Energy,72,{3TVXtAsR1Inumwj472S9r4},{Drake},0.747,0.571,11,-7.916,0.478,0.38,0,0.534,0.553,172.104,181933,4,1.0
1539460193683218435,Steevy La penn total ,2022-06-22 04:08:06.000,https://twitter.com/author/status/1539460193683218435,4L66HBMUeoZAKS5BvZnz2Q,La penn total,2,{7egmnoEETst6pdndMdXjec},{Steevy},0.547,0.813,6,-8.266,0.0324,0.0625,0.174,0.0721,0.88,173.969,296835,4,1.0
1539460192718442496,Tafia NA NA NA ,2022-06-22 04:08:06.000,https://twitter.com/author/status/1539460192718442496,5A5XZ49RusDpRHlltXB4f5,Paper Route (ft. Young Dolph),57,"{75s3jBhtUyWmQLLqzhIub4,3HiuzBlSW7pGDXlSFMhO2g}","{Tafia,Young Dolph}",0.807,0.722,6,-5.877,0.461,0.128,0,0.207,0.508,78.014,203077,4,0.0
1539460187647516673,Francois Feldman Magic boul vard Francois Feldman Magic boul vard ,2022-06-22 04:08:05.000,https://twitter.com/author/status/1539460187647516673,233lUspXxOpdE4E5Q5Mu9b,Magic' Boul'Vard,25,{3marwXSwSzZctZtvg35LOe},{François Feldman},0.53,0.206,5,-14.785,0.027,0.695,1.89e-05,0.107,0.0794,76.061,239133,4,0.0
1539460186624212992,Sevin Purple on Down Sevin ,2022-06-22 04:08:04.000,https://twitter.com/author/status/1539460186624212992,5IzdnkNRbixrcKjrg9Hk0z,Purple on Down,18,"{1I402d4s0Xe8EntQI3u96l,5JFkUMetke0t4mhzGSW2BQ}","{Sevin,Sevin Duce}",0.732,0.645,10,-8.266,0.362,0.0181,0,0.264,0.571,170.01,277338,4,0.0
1539460185088983040,Prosper Nkomezi Hahiriwe ,2022-06-22 04:08:04.000,https://twitter.com/author/status/1539460185088983040,2TspK7kNXTagfsDmElAAUu,Hahiriwe,1,{62aREECWk0Xu2VAfpPsV58},{nkomezi prosper},0.597,0.783,9,-7.812,0.0893,0.449,0,0.03,0.681,97.932,275985,4,1.0
1539460184158121984,Usher Here I Stand,2022-06-22 04:08:04.000,https://twitter.com/author/status/1539460184158121984,1oFEgr3Ujpwuiu4bn53B25,Here I Stand,41,{23zg3TcAtWQy7J6upgbUnj},{Usher},0.535,0.528,5,-5.763,0.0461,0.322,0,0.24,0.261,119.796,250320,4,1.0
1539460180403838976,9999 ,2022-06-22 04:08:03.000,https://twitter.com/author/status/1539460180403838976,7t0AFyyVYgwXuPRjbhQGph,9999999,34,{7d58WZ8qQHy2Sm5p52V2NP},{Aperture Science Psychoacoustic Laboratories},0.277,0.419,2,-17.783,0.0448,0.956,0.949,0.0993,0.0533,169.918,192426,3,0.0
1539460179967848448,Hiatus Kaiyote Get Sun feat Arthur Verocai ,2022-06-22 04:08:03.000,https://twitter.com/author/status/1539460179967848448,5CBEzaNEuv3OO32kZoXgOX,Get Sun (feat. Arthur Verocai),48,"{43JlwunhXm1oqdKyOa2Z9Y,1tP3R35TdPW8BMwmTPOoVZ}","{Hiatus Kaiyote,Arthur Verocai}",0.33,0.655,7,-6.532,0.163,0.107,0.000851,0.116,0.495,90.315,337627,4,1.0
1539460157653979136, ROMANTIC VY1 ,2022-06-22 04:07:58.000,https://twitter.com/author/status/1539460157653979136,1gyQvNlMzI2OSWivjZia7K,Romantic v1 - 30sec,22,"{0R4WOrCksLOhIiPkS7LKsR,3dhrMlmOyxC1Q8Ea2zPQjt}","{Alan Paul Ett,William Ashford}",0.356,0.219,0,-11.164,0.038,0.859,0.319,0.353,0.37,149.633,35291,3,1.0
1539460114817896448,by ,2022-06-22 04:07:47.000,https://twitter.com/author/status/1539460114817896448,2AaJeBEq3WLcfFW1y8svDf,By Your Side,75,{45TgXXqMDdF8BkjA83OM7z},{Rod Wave},0.649,0.508,8,-10.232,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,194051,4,1.0
