id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1539993575886393344,Woza Vusi Mahlasela ,2022-06-23 15:27:34.000,https://twitter.com/author/status/1539993575886393344,0HFMglIUCwjwPZlX4fF0KE,Woza,3,{7tUdxVCUWjTPf3Ic90eWDJ},{Vusi Mahlasela},0.456,0.581,4,-6.772,0.151,0.579,0.016,0.138,0.417,86.51,263520,4,1.0
1539993575660060672,S A M Feat Sarah Ikumu Spotlight ,2022-06-23 15:27:34.000,https://twitter.com/author/status/1539993575660060672,2ccAtGaGO98e5TxDxPCf1R,Spotlight (feat. Sarah Ikumu),51,"{5NvOXHyejl7e4KQnuFed5O,6nDkhVNHd7xpZGilqARZoS}","{S.A.M.,Sarah Ikumu}",0.715,0.866,11,-6.372,0.0733,0.0351,0.0,0.426,0.611,128.004,175476,4,0.0
1539993565065089024,Buitres El diablo,2022-06-23 15:27:32.000,https://twitter.com/author/status/1539993565065089024,6salDRSyfRgGLmoXnhSjbl,Como el Mismo Diablo,14,{535ap2f16rTOKTMPTkvbGB},{Los Buitres De Culiacan Sinaloa},0.872,0.734,5,-5.225,0.0377,0.134,0.0,0.0953,0.941,120.013,145131,1,1.0
1539993552289144833, Broken Future Nottie Gal ,2022-06-23 15:27:29.000,https://twitter.com/author/status/1539993552289144833,2jBaNgEvxBbM18DEAwjkG9,Nottie Gal,20,{4uRey4s58J44Hw796OCZQ1},{Broken Future},0.654,0.794,9,-8.775,0.0684,0.00019,0.741,0.387,0.698,126.009,228572,4,1.0
1539993538666307585, GUMI ,2022-06-23 15:27:25.000,https://twitter.com/author/status/1539993538666307585,08DlU63itukHK9nQQUvTYW,MONSTER,57,"{11T32AM3Tp0oYZ3PEWHGLZ,2XEx6N3gknSmtshM0PVuxu}","{KIRA,GUMI}",0.641,0.813,4,-4.298,0.0312,0.00363,0.00123,0.0744,0.59,118.005,213139,4,0.0
1539993516440522754,Davido Fall ,2022-06-23 15:27:20.000,https://twitter.com/author/status/1539993516440522754,4ou5xyFUJX4VwX76tw1qb1,Fall,62,{0Y3agQaa6g2r0YmHPOO9rh},{Davido},0.928,0.675,5,-3.535,0.0566,0.379,0.0,0.0533,0.794,105.952,240000,4,1.0
