id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1542187363258204161, feat nayuta ,2022-06-29 16:44:54.000,https://twitter.com/author/status/1542187363258204161,6sCKqUscjd01dZyz9ZMPP4,Stray Star feat. nayuta,8,"{1FlYm9KvbBOmtn8cQ0NuFR,5A9lXbSd5VDeTz1eSi5dCj}","{Amateras Records,nayuta}",0.492,0.969,4,-3.108,0.0547,0.0141,0.0208,0.353,0.392,145.001,339310,4,0.0
1542187349764890624,Wolves At The Gate Counterfeit at ,2022-06-29 16:44:51.000,https://twitter.com/author/status/1542187349764890624,02KS93L0i9PxtP17FAfDCN,Counterfeit,45,{0Z88iXWc4YVhtu1eFtsGk6},{Wolves At The Gate},0.469,0.977,1,-3.535,0.0506,1.08e-05,0.0,0.591,0.333,95.009,172733,4,1.0
1542187292831481858,Dion The Wanderer ,2022-06-29 16:44:37.000,https://twitter.com/author/status/1542187292831481858,3v8d3ku3kiTZVPxEt7a2dE,The Wanderer,61,{15FyiY3ChN0QRspHIQYq0W},{Dion},0.59,0.546,7,-10.213,0.0436,0.301,0.0,0.0936,0.855,114.04,168640,4,1.0
1542187187344707586, Quebra Minha Promessa Ao Vivo Felipe Grilo ,2022-06-29 16:44:12.000,https://twitter.com/author/status/1542187187344707586,5TZ18psOYRh6UlF23wC41y,Quebra Minha Promessa - Ao Vivo,41,{0kBK89gG6KK0EerF62bfM3},{Felipe Grilo},0.661,0.76,6,-4.973,0.0673,0.462,0.0,0.965,0.668,139.896,200704,4,1.0
1542187153777623043,Billy Swan I can help ,2022-06-29 16:44:04.000,https://twitter.com/author/status/1542187153777623043,4oW1lGOw5Q5OLvoJv92qoE,I Can Help,50,{6nNkKMkPl1qBCEW3Al9eVV},{Billy Swan},0.471,0.675,0,-9.07,0.0513,0.511,0.019,0.232,0.53,125.313,238333,4,1.0
1542187143044415489,Radio Big Station by Radio BIG ,2022-06-29 16:44:02.000,https://twitter.com/author/status/1542187143044415489,7dOvUKAn8BbkFCw8jnurgs,High by the Beach,0,{21iJ0sfITnAGHIFS3UQmk3},{The Pop Heroes},0.38,0.456,11,-12.151,0.095,0.788,0.000744,0.144,0.12,131.684,263636,4,0.0
1542187141920395265,RAJA D P I M P on ,2022-06-29 16:44:01.000,https://twitter.com/author/status/1542187141920395265,6TDcNFl56fTfbzyZcbTkMw,Onnavitta Yaarum Yenakilla - Version 1,48,"{1QcBqYUeQ4Ux3itkdDaFi0,3TUNkjIHkcvEy9oeK2D4hU,0oOet2f43PA68X5RxKobEy}","{D. Imman,Sean Roldan,Shreya Ghoshal}",0.512,0.803,7,-3.936,0.0362,0.411,0.0,0.0783,0.497,83.883,278096,4,0.0
1542187125591924738, w BALLER ,2022-06-29 16:43:57.000,https://twitter.com/author/status/1542187125591924738,5wdwd46vdGxRsy6tBRCSAY,We Were Like,41,{3RqBeV12Tt7A8xH3zBDDUF},{Kelsea Ballerini},0.591,0.92,4,-4.591,0.0428,0.0421,1.36e-05,0.25,0.59,100.011,180907,4,1.0
1542187124027293696,B Team B by AKB48 ,2022-06-29 16:43:57.000,https://twitter.com/author/status/1542187124027293696,6Fmq4DPgfGJ3XgvjDFzB8o,心の羽根(カラオケ)[原曲歌手:チームドラゴン from AKB48],0,{2yXtyhscuiX4SWRqd4ZUzv},{歌っちゃ王},0.465,0.829,7,-7.473,0.0582,0.00525,0.0557,0.563,0.314,136.031,261023,4,1.0
1542187114321829888, OMC How Bizarre 1997 ,2022-06-29 16:43:55.000,https://twitter.com/author/status/1542187114321829888,3yn0igS655gRwfeXYfKJxv,How Bizarre (As Made Famous by OMC),0,{0GRelLAVHzwasg0Ja7gJUy},{The Karaoke Crew},0.822,0.913,7,-6.809,0.0369,0.00188,0.308,0.0462,0.965,124.068,240867,4,0.0
1542187052128555008,MAYDAY ReSTARTING ,2022-06-29 16:43:40.000,https://twitter.com/author/status/1542187052128555008,49JDDyqCZ3qmo7y2UoXVfO,MAYDAY,29,{4csDToi5WSYjE48uYt0uYi},{Aimi},0.571,0.862,10,-4.641,0.0718,0.057,0.0,0.138,0.758,142.861,241427,4,1.0
1542186989189009409, The Smashing Pumpkins Zero ,2022-06-29 16:43:25.000,https://twitter.com/author/status/1542186989189009409,4YFcGTdgmEuw8xTO4XrxbB,Zero - Remastered 2012,67,{40Yq4vzPs9VNUrIBG5Jr2i},{The Smashing Pumpkins},0.438,0.728,8,-7.105,0.0458,3.49e-05,0.57,0.0509,0.701,128.04,160173,4,1.0
