id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1539778815236493313, Chic Good Times ,2022-06-23 01:14:11.000,https://twitter.com/author/status/1539778815236493313,2wYKNcoqKW4IEcllj42xz1,Good Times - 2018 Remaster,56,{0Xf8oDAJYd2D0k3NLI19OV},{CHIC},0.869,0.503,2,-12.804,0.0479,0.0818,0.00837,0.187,0.914,112.664,486187,4,1.0
1539778791152795650,Bill Medley and Jennifer Warnes Time Of My Life ,2022-06-23 01:14:06.000,https://twitter.com/author/status/1539778791152795650,4BFMQ15vXr626UOoZL8bUI,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",64,"{1XE70WwxhnrXNAJYQQ9ygx,1BwHztAQKypBuy5WBEdJnG}","{Bill Medley,Jennifer Warnes}",0.7,0.781,6,-8.255,0.0507,0.0874,0.00342,0.059,0.385,108.695,289067,4,0.0
1539778784123043840,Esther Chungu Jehovah ,2022-06-23 01:14:04.000,https://twitter.com/author/status/1539778784123043840,3SOQLdNaaJtEQmOOylaRVb,Jehovah,22,{2wMANrJhcgffus0NQNcBhm},{Esther Chungu},0.474,0.671,2,-3.159,0.0434,0.514,8.02e-06,0.0864,0.477,92.841,266893,3,0.0
1539778775319191557,Alex Piccini Marka T Rebuddy ,2022-06-23 01:14:02.000,https://twitter.com/author/status/1539778775319191557,3j2byHSp4As5yayiI8tOju,Rebuddy,0,"{1TdIXhv61KZmCEXL1HKwSG,469rjkHmkIo4d8P7bWP4CE}","{Alex Piccini,Marka T}",0.799,0.614,4,-13.311,0.0515,2.97e-05,0.841,0.0871,0.332,124.993,417428,4,0.0
1539778770214670336, by ,2022-06-23 01:14:01.000,https://twitter.com/author/status/1539778770214670336,2AaJeBEq3WLcfFW1y8svDf,By Your Side,75,{45TgXXqMDdF8BkjA83OM7z},{Rod Wave},0.649,0.508,8,-10.232,0.0959,0.0345,3.59e-05,0.0736,0.405,157.975,194051,4,1.0
1539778746802110466,Aggressive by ,2022-06-23 01:13:55.000,https://twitter.com/author/status/1539778746802110466,1cM7DsWCNfMjJe6BEF9ZAx,"Air By Handel: Music Shown to Reduce Growling, Aggressive Dog Behavior",30,{6I0OyKjLvQhQZBUqJaNbRI},{Official Pet Care Collection},0.541,0.0378,5,-26.183,0.0741,0.996,0.957,0.121,0.586,64.155,282000,4,1.0
1539778724320923648,RT ,2022-06-23 01:13:50.000,https://twitter.com/author/status/1539778724320923648,22yTSaGkqjJj54MkiCNYOX,Intro,53,{6MchyBkv0DmhCIP7kBLx5o},{RTB MB},0.796,0.506,1,-12.272,0.481,0.0265,0.0,0.121,0.519,129.954,136647,5,0.0
1539778696982167554, Leftwing Kody I Feel It ,2022-06-23 01:13:43.000,https://twitter.com/author/status/1539778696982167554,5FzuDFYmUFcvjraadJXv28,I Feel It,57,{7eYXtOjJGhrM16cK2hRmnR},{Leftwing : Kody},0.566,0.954,6,-4.678,0.0376,0.00411,0.0257,0.0943,0.887,125.967,155250,4,1.0
1539778674987515904,Far From Heaven Dream Theater ,2022-06-23 01:13:38.000,https://twitter.com/author/status/1539778674987515904,1CLRbfi8OTKOF7895kT4qu,Far from Heaven,36,{2aaLAng2L2aWD2FClzwiep},{Dream Theater},0.225,0.152,5,-11.811,0.032,0.811,0.0,0.11,0.141,180.124,236093,4,1.0
1539778647132778496,SUMMER MAGIC ,2022-06-23 01:13:31.000,https://twitter.com/author/status/1539778647132778496,3tYLYeAsO0aX2A1rh7I63C,Summer Magic,20,"{53GkgyJhOQ0D9hX1ch9pu5,7IfQwsEztUsSGTjabOxg01}","{The Musalini,Shinobi3rdeye}",0.418,0.811,2,-8.655,0.526,0.383,0.0,0.131,0.342,181.896,151798,4,1.0
