id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1539609790254645249, Sting Fields Of Gold ,2022-06-22 14:02:33.000,https://twitter.com/author/status/1539609790254645249,0I1DJdLt9BKOb7GWmWxCjo,Fields Of Gold,71,{0Ty63ceoRnnJKVEYP0VQpk},{Sting},0.651,0.339,2,-11.917,0.0246,0.372,0.0141,0.0739,0.32,103.996,222120,4,1.0
1539609787721195524,J Cole ATM ,2022-06-22 14:02:32.000,https://twitter.com/author/status/1539609787721195524,2UciqgwVDwro0fev3MFbxJ,ATM,65,{6l3HvQ5sa6mXTsMTB19rO5},{J. Cole},0.772,0.498,8,-7.661,0.649,0.115,0.0,0.0898,0.351,81.817,216727,4,1.0
1539609718661885952,Taj Mahal I Can t Help Myself Sugarpie Honeybunch ,2022-06-22 14:02:16.000,https://twitter.com/author/status/1539609718661885952,7n94cqs13koDXGkIgad8dd,I Can't Help Myself (Sugarpie Honeybunch),9,{1aTDTChWWyiJH3SEnYrdVp},{Taj Mahal},0.816,0.821,9,-5.293,0.0312,0.145,0.0,0.0538,0.968,117.909,165533,4,1.0
1539609708163727360,Stay This Way Opolopo Angela Johnson ,2022-06-22 14:02:13.000,https://twitter.com/author/status/1539609708163727360,43yTV6DpQp8ytuiFADnhiO,Stay This Way - Original Mix,24,"{5WaobPZaAjGIIlabFX3I94,6OCcrLBIO5JCdDMUU6h35w}","{Opolopo,Angela Johnson}",0.764,0.853,7,-7.809,0.0621,0.0461,0.121,0.0476,0.74,119.976,434303,4,1.0
1539609692686929921,rainy Ochunism ,2022-06-22 14:02:09.000,https://twitter.com/author/status/1539609692686929921,2efO2vtMALXUWa7DmpZZnP,rainy,33,{3w5Y9qujoqMYzjk6aIgpnS},{Ochunism},0.837,0.479,7,-7.094,0.0408,0.333,0.000122,0.118,0.441,112.026,377494,4,0.0
1539609688647557120,a ha The Sun Always Shines On TV ,2022-06-22 14:02:08.000,https://twitter.com/author/status/1539609688647557120,2wfpV9gUNaTN1gkct0RUNz,The Sun Always Shines On TV - MTV Unplugged,45,"{2jzc5TC5TVFLXQlBNiIUzE,2N2UOZtcVlmeJWpIoF5sgn}","{a-ha,Ingrid Helene Håvik}",0.578,0.47,9,-7.973,0.0389,0.783,0.000141,0.699,0.403,119.605,267840,4,0.0
1539609673904578560,Dennis Brown Love Has Found It s Way w ,2022-06-22 14:02:05.000,https://twitter.com/author/status/1539609673904578560,2VFyBA1wpU5a4KgZayr1rK,Love Has Found Its Way,47,{0UmBaQJflaHddKtf1lrA6F},{Dennis Brown},0.771,0.581,8,-9.25,0.0719,0.0573,2.14e-05,0.0758,0.834,100.065,266987,4,1.0
1539609657433640960, THE PARADE JOEL CORRY DA HOOL ,2022-06-22 14:02:01.000,https://twitter.com/author/status/1539609657433640960,0B3H6se7MYo3D7BmzfvdVN,The Parade,69,"{6DgP9otnZw5z6daOntINxp,0wOXK4GjUAFUDhd7mvKBbW}","{Joel Corry,Da Hool}",0.793,0.886,10,-5.071,0.0445,0.000755,0.878,0.296,0.285,124.04,158725,4,0.0
1539609622041985031,S L U T Miller ,2022-06-22 14:01:53.000,https://twitter.com/author/status/1539609622041985031,6h3lMAmmpQDFqoHk9F99IR,S.L.U.T.,68,{1o2NpYGqHiCq7FoiYdyd1x},{Bea Miller},0.722,0.773,5,-4.378,0.0792,0.0598,0.0,0.179,0.724,94.997,179147,4,0.0
1539609614827851777, Scorpions I m Leaving You ,2022-06-22 14:01:51.000,https://twitter.com/author/status/1539609614827851777,2fRsjOJmVATsGho7UD6GJw,I'm Leaving You,41,{27T030eWyCQRmDyuvr1kxY},{Scorpions},0.472,0.696,4,-11.956,0.0424,0.000427,0.000122,0.0589,0.662,143.079,257800,4,0.0
