id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1540540730283765760,destination unknown Kalafina After Eden ,2022-06-25 03:41:46.000,https://twitter.com/author/status/1540540730283765760,24nn4H2odGCZ4B1FrBWHnm,destination unknown,19,{2otsTXVV2ZWZ8T5LPzsBhy},{Kalafina},0.442,0.964,7,-4.798,0.0754,7.24e-05,8.31e-05,0.365,0.643,139.972,305707,4,1.0
1540540672457035777,MAGO MANOS MAGICAS Granja del Tio Bob ,2022-06-25 03:41:32.000,https://twitter.com/author/status/1540540672457035777,3d8XtTXCXT4jab0pqvX4Nv,Mago Manos Mágicas,0,{5FJ4Ubb8pcoOf1XJjMVCrs},{La Granja del Tío Bob},0.414,0.862,4,-7.763,0.0528,0.249,5.09e-06,0.0926,0.581,169.951,215325,4,1.0
1540540662193754112, ORIGINAL SOUNDTRACK ,2022-06-25 03:41:30.000,https://twitter.com/author/status/1540540662193754112,34x6hEJgGAOQvmlMql5Ige,"Danger Zone - From ""Top Gun"" Original Soundtrack",79,{3Y3xIwWyq5wnNHPp5gPjOW},{Kenny Loggins},0.544,0.897,3,-6.056,0.0471,0.241,0.0,0.13,0.647,157.17,215133,4,0.0
1540540648667099136, Fortune Cookie In Love ,2022-06-25 03:41:27.000,https://twitter.com/author/status/1540540648667099136,1PLBH4Kb63T9KQe5WcGoa6,Fortune Cookie in Love,50,{2l8I5pWUnfF7bMK1z6EJRk},{JKT48},0.644,0.979,2,-1.336,0.07,0.0585,0.0,0.33,0.848,122.035,283027,4,1.0
1540540646762487808, back number MAGIC ,2022-06-25 03:41:26.000,https://twitter.com/author/status/1540540646762487808,3BF8IygXqHp8GimcbvgzA9,Magical Backdrops for Cool June Nite,0,{7egu6ZCLY2j4GECsYZkJEv},{Hip-Hop Lofi Chill},0.769,0.36,11,-27.33,0.0423,0.807,0.929,0.063,0.598,128.135,135000,4,1.0
1540540646645284865, Cuba Gibson Brothers ,2022-06-25 03:41:26.000,https://twitter.com/author/status/1540540646645284865,7qhwiyufW4TrovttmetUwr,Cuba,46,{0pRXhFeDRaYQgCp0lj2X9r},{The Gibson Brothers},0.679,0.862,10,-8.579,0.058,0.000592,0.133,0.134,0.886,121.142,453893,4,0.0
1540540636339834881,Hrs And Hrs by Muni Long,2022-06-25 03:41:24.000,https://twitter.com/author/status/1540540636339834881,6mykTEMqXOlxIRsRjvoA4m,Hrs and Hrs (Originally Performed by Muni Long) [Instrumental],13,{04T7QEqAiQBW12loi1g2CO},{Vox Freaks},0.649,0.141,8,-14.649,0.0494,0.385,0.905,0.0986,0.94,141.039,208439,3,0.0
1540540626793537538,Taylor Swift invisible string ,2022-06-25 03:41:21.000,https://twitter.com/author/status/1540540626793537538,6VsvKPJ4xjVNKpI8VVZ3SV,invisible string,70,{06HL4z0CvFAxyc27GXpf02},{Taylor Swift},0.653,0.452,4,-11.143,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881,4,0.0
1540540619827068929,SLEEPLESS B z SLEEPLESS ,2022-06-25 03:41:20.000,https://twitter.com/author/status/1540540619827068929,0YaHDp3OtwG5yD33VjBqBK,Sleepless,41,"{7k2DKbqSCTEuNg0gF1fnCS,0MpUfggcwnWsyLyPStcaEl,4RsyAjj8iNZFPby8k3jwC2,6xePR07s4YKv2Ir2utE6ZK}","{Bblasian,Whiteboy,Lil Zayo,Lil 5age}",0.644,0.665,4,-4.37,0.302,0.174,0.0,0.0718,0.336,173.821,225620,4,0.0
1540540581092290561,The Black Keys Black Mud Brothers ,2022-06-25 03:41:11.000,https://twitter.com/author/status/1540540581092290561,2y42MmBCfEhqIkFAJs0V8Z,Black Mud,40,{7mnBLXK823vNxN3UWB7Gfz},{The Black Keys},0.515,0.502,11,-8.898,0.058,0.253,0.883,0.345,0.374,143.937,129440,4,0.0
1540540574050275328, on s M Pop Muzik ,2022-06-25 03:41:09.000,https://twitter.com/author/status/1540540574050275328,588NXxfVuixQY3rRrIHYnN,Pop up On Da Scene,8,{4YShpPyx8MfKKZPmLuuqIZ},{Scotty Cain},0.601,0.62,1,-8.669,0.399,0.00878,3.16e-05,0.419,0.716,157.875,178991,4,1.0
