id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1541536942067576833, YUKI Terminal ,2022-06-27 21:40:22.000,https://twitter.com/author/status/1541536942067576833,3e8F14yKcFF83TcFIdnuQR,"Baby, it's you",40,{380DW51qbu5pSP8crFRIII},{YUKI},0.539,0.645,8,-5.106,0.0629,0.0235,0,0.0807,0.578,164.021,247227,4,1.0
1541536922019184640, Asayake ,2022-06-27 21:40:17.000,https://twitter.com/author/status/1541536922019184640,41pDGyl96W2uxqxVjRfAUr,Asayake,47,{1HRP4rtLUA0IdEjlCAR66t},{Urushi},0.681,0.511,8,-6.084,0.0446,0.827,0.732,0.101,0.624,170.026,112941,4,1.0
1541536904503754752,Guten Morgen ,2022-06-27 21:40:13.000,https://twitter.com/author/status/1541536904503754752,53sSF069DeO67sgt9d4BOU,Guten Morgen Sonnenschein,45,{6p7iFdv6Wn9iaS7AwVLvod},{Nana Mouskouri},0.714,0.874,9,-6.618,0.0795,0.484,0,0.0715,0.964,97.462,157147,4,1.0
1541536897784336385,ShaniaTwain Youre Still The One ,2022-06-27 21:40:11.000,https://twitter.com/author/status/1541536897784336385,1wb4P4F0sxAQ2KXrRvsx6n,You're Still The One,77,{5e4Dhzv426EvQe3aDb64jL},{Shania Twain},0.585,0.494,3,-8.751,0.0353,0.363,0,0.0886,0.634,133.822,212200,4,1.0
1541536894634393600,Big Stoner Creek Subway ,2022-06-27 21:40:10.000,https://twitter.com/author/status/1541536894634393600,5PJM5csqJoeMgKZmqRDerW,Subway,1,{5Zv4MkGYuWURexafQFY1oC},{Big Stoner Creek},0.582,0.849,0,-7.173,0.0316,0.128,0.00451,0.0712,0.791,112.967,287128,4,1.0
1541536889538334727,Superloop Be,2022-06-27 21:40:09.000,https://twitter.com/author/status/1541536889538334727,0Wvf1QPOTqATVspQ9eA0Ad,Be,21,{75BLSDgRwRUoJW901UJSL5},{Superloop},0.612,0.786,4,-8.63,0.0392,0.105,0.588,0.674,0.741,93.993,293853,4,0.0
1541536886539563008, AKB48 ,2022-06-27 21:40:08.000,https://twitter.com/author/status/1541536886539563008,4QTqzaot78lDo2gkauEgq5,"Sugar Rush - From ""Wreck-It Ralph""/Soundtrack Version",46,{01wau5CL3Z1vfJJWkzBkqg},{AKB48},0.588,0.867,11,-3.533,0.0331,3.94e-05,2.73e-05,0.0457,0.79,132.026,194827,4,0.0
1541536884828020739,Romeo Santos Anthony Santos Luis Vargas Raulin Rodriguez Debate De 4,2022-06-27 21:40:08.000,https://twitter.com/author/status/1541536884828020739,1dZe54pxTPI1XsISVTR6ns,Debate De 4,65,"{5lwmRuXgjX8xIwlnauTZIP,06TVTkMAOR935MhkjX0i2A,6Mjbr8K3MiiRMqmFIB4zWq,5rvaaWutd0gsbc2iMNo9k5}","{Romeo Santos,Anthony Santos,Luis Vargas,Raulin Rodriguez}",0.768,0.755,9,-4.331,0.0422,0.323,0,0.208,0.834,132.002,279347,4,0.0
1541536882659627011,EL GRAN PROYECTO ABRAZAME EL GRAN PROYECTO ,2022-06-27 21:40:07.000,https://twitter.com/author/status/1541536882659627011,6JHsEybp9zvABvV57kunDC,Abrazame,0,{4FSQ8hUxAneUzL9b4btM57},{El Gran Proyecto},0.786,0.795,5,-3.979,0.0522,0.56,0,0.0572,0.975,88.023,187431,4,1.0
1541536875747368960,Scarlet Jei Saoirse Autumn Reminds Me Of You ,2022-06-27 21:40:06.000,https://twitter.com/author/status/1541536875747368960,6yL6leGYKXYFmbm46srlka,Autumn Reminds Me of You,1,{4AJQ0gMC3EwLxlWXS8OWrU},{Scarlet Jei Saoirse},0.44,0.284,7,-11.198,0.0432,0.842,0,0.218,0.601,140.029,196848,4,1.0
