id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1539662636291280897,stars we chase CV Eutopia EMOTION stars we chase ,2022-06-22 17:32:32.000,https://twitter.com/author/status/1539662636291280897,4VLmRpAuJGyTYSf1kN6xBT,stars we chase,0,{54hnRUYsDChS7pkIRHiz5P},{ミア・テイラー (CV.内田 秀)},0.767,0.676,7,-5.765,0.0315,0.0355,0,0.202,0.5,115.01,193547,4,1.0
1539662632671596545, Equation Full ,2022-06-22 17:32:31.000,https://twitter.com/author/status/1539662632671596545,6DdqwKqWCyzpHIXccqxr2B,Equation Full,10,{3w3mOjPtWGFO4O9ZRkvPWa},{Mind Eraser},0.204,0.925,4,-5.057,0.093,1.18e-05,0.906,0.223,0.0318,95.696,43280,4,1.0
1539662582470033408, Anthem Part Two de blink 182 ,2022-06-22 17:32:19.000,https://twitter.com/author/status/1539662582470033408,1T9v6p5674MmaX5WkOn3KA,Anthem Part Two,0,{63mUiSpYZTSGIdZR4c4kkD},{Déjà Vu},0.609,0.716,0,-8.72,0.0289,0.0001,0,0.293,0.341,103.015,231500,4,1.0
1539662559309172737,NIN Head Like A Hole ,2022-06-22 17:32:14.000,https://twitter.com/author/status/1539662559309172737,3ckd4YA4LcD3j50rfIVwUe,Head Like A Hole,61,{0X380XXQSNBYuleKzav5UO},{Nine Inch Nails},0.666,0.798,9,-11.26,0.0477,0.00848,0.00186,0.585,0.442,115.382,299680,4,1.0
1539662551646076930, on s Chic Le Freak ,2022-06-22 17:32:12.000,https://twitter.com/author/status/1539662551646076930,1tJZaIEVKlWmTPaMNuRmqW,Le Freak,1,{0Xf8oDAJYd2D0k3NLI19OV},{CHIC},0.902,0.839,7,-6.736,0.0662,0.00373,8.79e-05,0.0859,0.857,118.485,329973,4,1.0
1539662538727723011,Where I m From,2022-06-22 17:32:09.000,https://twitter.com/author/status/1539662538727723011,1YR1ChVR8n5EtLRIIDhRTF,Where I Come From,60,{3bGXaFVQLASmDMdjjeJr8a},{Montgomery Gentry},0.62,0.852,1,-4.203,0.0308,0.0108,4.94e-06,0.279,0.479,90.038,201840,4,1.0
1539662530762752003,Alex Guesta Free 2K12 ,2022-06-22 17:32:07.000,https://twitter.com/author/status/1539662530762752003,7wUifIANSinSEd1RfYslf1,Free - OriginalMix,2,{1oXk9MOvrFIybs5GMosvh3},{Alex Guesta},0.65,0.683,5,-5.197,0.0721,0.000776,0.0645,0.313,0.363,128.012,367500,4,0.0
1539662527461822466,overtime,2022-06-22 17:32:06.000,https://twitter.com/author/status/1539662527461822466,71pmeuiEvHAkE7gXxWL2Uy,Overtime,62,{15oLsNy8mZYaIukh4eDhXy},{Baby Smoove},0.497,0.627,7,-7.851,0.306,0.0868,0,0.339,0.528,96.975,142320,4,1.0
1539662519446429696,Mariah Carey My all ,2022-06-22 17:32:04.000,https://twitter.com/author/status/1539662519446429696,3RSpK5Y0y5tl25qvssrwJ6,My All,66,{4iHNK0tOyZPYnBU7nGAgpQ},{Mariah Carey},0.607,0.317,7,-10.244,0.029,0.732,4.53e-05,0.086,0.111,108.122,230933,4,0.0
1539662517315801091,And Realise JEWLY ,2022-06-22 17:32:04.000,https://twitter.com/author/status/1539662517315801091,6B5AAxWC9TfbiUaIzptXDq,And Realise,0,{14cBT4UHIAXgcSPFDNRD9t},{Jewly},0.548,0.949,2,-3.687,0.0779,0.00162,1.46e-05,0.359,0.559,136.949,231600,4,0.0
1539662499506753537,Try Jah Love Thommy Davis Randy Roberts DJ Spen ,2022-06-22 17:32:00.000,https://twitter.com/author/status/1539662499506753537,21eVH4eoe2UBHQigg5hbOD,Try Jah Love - DJ Spen & Thommy Davis Original Mix,0,"{2xPooxXsKv4dqHK9abZN2T,7aCNuYq68bM7TvUxxowQm6,4kr94nr7SzBRas5Cb3krFZ}","{Thommy Davis,Randy Roberts,DJ Spen}",0.717,0.802,11,-4.85,0.0638,0.000152,0.117,0.08,0.76,123.005,425854,4,1.0
1539662497489522688,Subtraction Sepultura ,2022-06-22 17:31:59.000,https://twitter.com/author/status/1539662497489522688,0VKQ97LOcbjsfwdl286CtJ,Subtraction,37,{6JW8wliOEwaDZ231ZY7cf4},{Sepultura},0.411,0.965,11,-6.272,0.11,7.67e-06,0.0466,0.191,0.201,111.314,287773,4,1.0
