id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1540046423831592960,Easy Life BEESWAX ,2022-06-23 18:57:34.000,https://twitter.com/author/status/1540046423831592960,6pmOqyfbbFL1lTn9fo9SiS,BEESWAX,57,{7uwY65fDg3FVJ8MkJ5QuZK},{easy life},0.714,0.702,5,-6.441,0.0593,0.575,1.62e-05,0.093,0.505,104.904,188805,4,0.0
1540046415107334145,Elvis Presley The Jordanaires Don t en ,2022-06-23 18:57:32.000,https://twitter.com/author/status/1540046415107334145,01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,57,{43ZHCT0cAZBISjO8DG9PnE},{Elvis Presley},0.697,0.55,2,-11.496,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,4,1.0
1540046410749444096,Anita Baker Angel ,2022-06-23 18:57:31.000,https://twitter.com/author/status/1540046410749444096,4R71PteUPOtFa3yEz0q8Z5,Angel,52,{46CH1Gp8l8QVly8bpG9JFG},{Anita Baker},0.625,0.373,9,-12.718,0.0315,0.705,4.95e-05,0.0699,0.486,81.034,300707,4,0.0
1540046401513705473, Amor Psycho Voodoo Zombie,2022-06-23 18:57:29.000,https://twitter.com/author/status/1540046401513705473,2TALkm1arh3ZXZBDUUbGKN,Amor Psycho,17,{7vgH1SZNi1o8NCn0hKn29X},{Voodoo Zombie},0.628,0.917,8,-5.584,0.0467,0.00148,0.000217,0.0839,0.638,105.09,278126,4,1.0
1540046377291481089,B B King Lucille on ,2022-06-23 18:57:23.000,https://twitter.com/author/status/1540046377291481089,1i9y9v1bn0zkQUyqd9xNUL,Lucille Talks Back,16,{5xLSa7l4IV1gsQfhAMvl0U},{B.B. King},0.581,0.241,9,-18.78,0.0317,0.804,0.947,0.0697,0.577,105.507,145840,4,1.0
1540046365937618946, Those Were The Days by on ,2022-06-23 18:57:20.000,https://twitter.com/author/status/1540046365937618946,36XvUFXm4fQUhkhbUeoKxO,Walk On By,1,{04x8WUfUIXvBy0I8UmvO9U},{Jerry Weldon},0.654,0.41,8,-10.481,0.039,0.711,0.888,0.13,0.536,132.992,353560,4,1.0
1540046339135913984,Ander B Classic 8 ,2022-06-23 18:57:14.000,https://twitter.com/author/status/1540046339135913984,4LG4yhKa69RTG4HcNAkxrp,"Bach, JS: Well-Tempered Clavier, Book 2, Prelude and Fugue No. 17 in A-Flat Major, BWV 886: I. Prelude",46,"{5aIqB5nVVvmFsvSdExz408,0ndw1tUehEV3tnnYUnqFw9}","{Johann Sebastian Bach,Piotr Anderszewski}",0.262,0.13,8,-27.225,0.0367,0.993,0.889,0.113,0.445,135.803,212347,4,1.0
1540046334274801668,Antonio Adolfo Luizao Daz I Kue Re Edit ,2022-06-23 18:57:13.000,https://twitter.com/author/status/1540046334274801668,1pHMMO2WO1q7cep7HrKCJM,Luizão - Daz-I-Kue Re-Edit,3,{41ZdHyHrzKwE6Y8dtDQ1Q9},{Antonio Adolfo},0.648,0.749,9,-9.067,0.0539,0.299,0.0205,0.156,0.382,111.997,306427,4,0.0
1540046326850805761,Unknown My Boo on com,2022-06-23 18:57:11.000,https://twitter.com/author/status/1540046326850805761,5fdgHRxL2R307hfWrqXr62,That's My Sister on My Lap,0,{2DGS7tM4WwlfJKGgExl0LP},{The Unknown Comic},0.57,0.684,4,-7.357,0.666,0.923,0.0,0.897,0.682,103.804,324000,4,1.0
1540046317598044161,Jacob Webb Belmont Ave,2022-06-23 18:57:09.000,https://twitter.com/author/status/1540046317598044161,2WVuuVe2PjByC8Msp4xVbB,Belmont Ave,20,{6LB9EnOUIzqsiEYQVipZko},{Jacob Webb},0.677,0.711,5,-9.0,0.0301,0.0392,0.114,0.0767,0.451,106.993,238846,4,1.0
1540046307871657988,Drake F Fans ,2022-06-23 18:57:07.000,https://twitter.com/author/status/1540046307871657988,3RkNXZvOSMMElmmXztDc94,F*****g Fans,66,{3TVXtAsR1Inumwj472S9r4},{Drake},0.783,0.416,4,-9.84,0.135,0.213,0.0,0.103,0.165,87.073,245131,4,0.0
