id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1535866685948932098,Dobrinka Tabakova Alma Redemptoris Mater ,2022-06-12T06:08:47.000Z,https://twitter.com/author/status/1535866685948932098,4LTJ6sga7sOIXjE8WCVhm6,Alma Redemptoris Mater,4,"{1zLIRG57NYJF3ckNxrQLzp,0U76qHnOeDlShHkjDhpwIN,3LMdoGIpk6a3VZefNZVhfV}","{Dobrinka Tabakova,Truro Cathedral Choir,Christopher Gray}",0.0798,0.0343,6,-30.768,0.0417,0.993,0.269,0.103,0.0332,80.338,361973,3,0.0
1535866678327779328,Tijuana Panthers False Equivalent ,2022-06-12T06:08:45.000Z,https://twitter.com/author/status/1535866678327779328,6FQHJN8PFMzYVysVbzqPMh,False Equivalent,27,{5XGoUe0WjmbOtppHlB7Taf},{Tijuana Panthers},0.502,0.869,5,-6.356,0.0432,0.000851,0.864,0.106,0.54,120.025,171147,4,0.0
1535866666911158272,Nowplaying ,2022-06-12T06:08:43.000Z,https://twitter.com/author/status/1535866666911158272,5yuWxxZywM9goEOPBFS46i,Don't Do No Playing,33,{3uJx5SnOM59Li7lCxA3b29},{Lil Keed},0.812,0.475,1,-9.964,0.28,0.122,0,0.12,0.395,79.976,181000,4,0.0
1535866648657219584, SHOW BY ROCK by Mashumairesh ,2022-06-12T06:08:38.000Z,https://twitter.com/author/status/1535866648657219584,5pRwg031qxtuaIzKTJSQPv,Ale and Response,12,{47WLArWPAiY0vpowPG0xhQ},{Mashumairesh!!},0.277,0.982,6,-1.629,0.114,0.0163,0.0187,0.241,0.435,188.185,226507,4,1.0
